epoch,accuracy,loss,val_accuracy,val_loss
0,0.8450793623924255,0.5242339968681335,0.970714271068573,0.09888993948698044
1,0.968505322933197,0.1159282699227333,0.973809540271759,0.08851909637451172
2,0.9781349301338196,0.07742796838283539,0.9833333492279053,0.05608874931931496
3,0.9833862781524658,0.058820247650146484,0.9883333444595337,0.04397134482860565
4,0.9864947199821472,0.047926731407642365,0.9900000095367432,0.040087249130010605
5,0.9879894256591797,0.04115387052297592,0.9904761910438538,0.03561827912926674
6,0.9886772632598877,0.037747614085674286,0.9876190423965454,0.04167409986257553
7,0.9908730387687683,0.03209087252616882,0.9890475869178772,0.038119543343782425
8,0.9915741086006165,0.027901701629161835,0.9892857074737549,0.04184975475072861
9,0.9922884106636047,0.02539692632853985,0.9885714054107666,0.0400969460606575
10,0.9933995008468628,0.02169347181916237,0.991190493106842,0.043218620121479034
11,0.9938624501228333,0.01915184035897255,0.9909523725509644,0.03693166375160217
12,0.9951058626174927,0.016739487648010254,0.9916666746139526,0.038651373237371445
13,0.9943915605545044,0.017588432878255844,0.9928571581840515,0.036318544298410416
14,0.994788408279419,0.017125779762864113,0.9907142519950867,0.043341029435396194
15,0.9959259629249573,0.013770893216133118,0.9921428561210632,0.03430327773094177
16,0.9959259629249573,0.01347561925649643,0.991428554058075,0.03818589448928833
17,0.9963756799697876,0.011987628415226936,0.991190493106842,0.04221578314900398
18,0.9962169528007507,0.012481197714805603,0.9919047355651855,0.04342374950647354
19,0.9967857599258423,0.010342019610106945,0.9919047355651855,0.04236868396401405
20,0.9965476393699646,0.010648268274962902,0.991428554058075,0.03916105628013611
21,0.9969577193260193,0.010372529737651348,0.991190493106842,0.047161903232336044
22,0.9968386292457581,0.009637104347348213,0.9921428561210632,0.0385139100253582
23,0.9970767498016357,0.00938418973237276,0.9921428561210632,0.04248889908194542
